,paper_id,country,org,org_type,team
38,11,OK 73401 USA,Oklahoma State Univ,,"Tadege, Million"
39,11,Peoples R China,Fudan Univ,,"Chang, Fang"
40,11,Peoples R China,Fudan Univ,,"Chang, Fang"
41,12,Peoples R China,Nanjing Agr Univ,,"Liu, Qinhua; Zong, Cheng; Dong, Zhihao; Wu, Jinxin; Zhu, Jiugang; Li, Junfeng; Shao, Tao"
42,12,Peoples R China,Chongqing Acad Anim Sci,,"Zhang, Jian"
43,12,Peoples R China,Nanjing Agr Univ,,"Shao, Tao"
44,13,Argentina,Inst Nacl Tecnol Agr,,"Trucco, Veronica; Cabrera Mederos, Dariel; Lenardon, Sergio; Giolitti, Fabian"
45,13,Argentina,Consejo Nacl Invest Cient & Tecn,,"Trucco, Veronica; Cabrera Mederos, Dariel; Giolitti, Fabian"
46,13,Argentina,Univ Nacl Rio Cuarto,,"Lenardon, Sergio"
47,14,IA 50011 USA,Iowa State Univ,,"Fries-Craft, K.; Anast, J. M.; Schmitz-Esser, S.; Bobeck, E. A."
48,14,IA USA,Iowa State Univ,,"Anast, J. M.; Schmitz-Esser, S."
49,15,Tunisia,Univ Tunis El Manar,,"Aridhi, Fatma; Sghaier, Hajer; Khadri, Ayda; Aschi-Smiti, Samira"
50,15,France,Univ Cote dAzur,,"Aridhi, Fatma; Gaitanaros, Allyzee; Brouquisse, Renaud"
51,16,England,John Innes Ctr,,"Walton, Jennifer H.; Green, Robert T.; Franceschetti, Marina; Balk, Janneke"
52,16,England,Univ East Anglia,,"Walton, Jennifer H.; Balk, Janneke"
53,16,Hungary,NARIC,,"Kontra-Kovats, Gyongyi; Domonkos, Agota; Horvath, Beatrix; Kalo, Peter"
54,16,Australia,Univ Sydney,,"Brear, Ella M."
55,16,Hungary,Biol Res Ctr,,"Kalo, Peter"
56,17,Iran,Amirkabir Univ Technol AUT,,"Eslahati, Mohammad"
57,17,Iran,Petr Univ Technol PUT,,"Mehrabianfar, Parviz; Bahraminejad, Hossein; Manshad, Abbas Khaksar"
58,17,Italy,SAPIENZA Univ Rome,,"Isari, Ali Akbar"
59,17,Australia,Edith Cowan Univ,,"Keshavarz, Alireza"
60,18,New Zealand,Univ Auckland,,"Jaudal, Mauren; Putterill, Joanna"
61,18,OK 73401 USA,Noble Res Inst,,"Wen, Jiangqi; Mysore, Kirankumar S."
62,19,Peoples R China,Liaocheng Univ,,"Fan, Yinglun; Wang, Xiuyuan; Li, Haiyun; Liu, Shuang; Jin, Liangshen; Lyu, Yanyan; Shi, Mengdi; Liu, Sirui; Yang, Xinyue; Lyu, Shanhua"
63,20,CA 93648 USA,USDA ARS,,"Kron, Cindy R.; Sisterson, Mark S."
64,20,CA 95403 USA,Univ Calif,,"Kron, Cindy R."
65,21,Peoples R China,Yunnan Agr Univ,,"Ma, Xiang Li; Ren, Jian; Dai, Wei Ran; Bi, Yu Fen"
66,21,Peoples R China,Kunming Cigarette Factory Hongyunhonghe Grp,,"Yang, Wei"
67,22,Peoples R China,Gansu Agr Univ,,"Niu, Yining; Luo, Zhuzhu; Zhang, Yaoquan"
68,22,Peoples R China,Gansu Agr Univ,,"Luo, Zhuzhu; Cai, Liqun; Zhang, Yaoquan"
69,22,MN 55108 USA,Univ Minnesota,,"Coulter, Jeffrey A."
70,22,ND 58108 USA,North Dakota State Univ,,"Berti, Marisol"
71,23,New Zealand,Lincoln Univ,,"Bouray, Moussa; Moir, Jim; Condron, Leo; Lehto, Niklas"
72,23,Morocco,Mohammed VI Polytech Univ UM6P,,"Bouray, Moussa"
73,24,Peoples R China,Chinese Acad Sci,,"Guo, Shiqi; Zhang, Xiaojia; Bai, Quanzi; Zhao, Weiyue; Fang, Yuegenwang; Zhou, Shaoli; Zhao, Baolin; He, Liangliang; Chen, Jianghua"
74,24,Peoples R China,Univ Chinese Acad Sci,,"Guo, Shiqi; Zhang, Xiaojia; Bai, Quanzi; Zhao, Weiyue; Fang, Yuegenwang; Zhou, Shaoli; He, Liangliang"
75,25,Australia,CSIRO Agr & Food,,"Zhang, Lijun; Kamphuis, Lars G.; Guo, Yanqiong; Jacques, Silke; Singh, Karam B.; Gao, Ling-Ling"
76,25,Peoples R China,Shanxi Agr Univ,,"Zhang, Lijun; Guo, Yanqiong; Jacques, Silke"
77,25,Australia,Univ Western Australia,,"Kamphuis, Lars G.; Singh, Karam B."
78,25,Australia,Curtin Univ,,"Jacques, Silke"
79,26,WA 99350 USA,USDA ARS,,"Lin, Sen; Medina, Cesar Augusto; Boge, Bill; Hu, Jinguo; Yu, Long-Xi"
80,26,WA 99350 USA,Washington State Univ,,"Fransen, Steven"
81,26,WA USA,Washington State Univ,,"Norberg, Steven"
82,27,France,Univ Clermont Auvergne,,"Martin-Rosset, W.; Andueza, D.; Vermorel, M."
83,28,WI 53706 USA,Univ Wisconsin,,"Uddin, M. E.; Santana, O. I.; Weigel, K. A.; Wattiaux, M. A."
84,28,Mexico,Inst Nacl Invest Forestales Agr & Pecuarias INIFA,,"Santana, O. I."
85,29,Peoples R China,Shanghai Jiao Tong Univ,,"Li, Jiaojiao; Su, Liantai; Lv, Aimin; Li, Yanbang; Zhou, Peng; An, Yuan"
86,29,Peoples R China,Minist Agr,,"An, Yuan"
87,30,France,CIRAD,,"Ryckebusch, F.; Sauvion, N.; Granier, M.; Roumagnac, P.; Peterschmitt, M."
88,30,France,Univ Montpellier,,"Ryckebusch, F.; Sauvion, N.; Granier, M.; Roumagnac, P.; Peterschmitt, M."
89,31,Peoples R China,Northwest A&F Univ,,"Peng, Qi; Wu, Miaomiao; Zhang, Zekun; Su, Rui; He, Honghua; Zhang, Xingchang"
90,31,Peoples R China,Chinese Acad Sci & Minist Water Resources,,"Peng, Qi; He, Honghua; Zhang, Xingchang"
91,31,Peoples R China,Univ Chinese Acad Sci,,"Peng, Qi"
92,31,Peoples R China,Northwest A&F Univ,,"Wu, Miaomiao; Zhang, Zekun; Su, Rui; He, Honghua; Zhang, Xingchang"
93,32,Peoples R China,Gansu Agr Univ,,"Kang, Wenjuan; Jiang, Zhehao; Chen, Yonggang; Wu, Fang; Liu, Chang; Shi, Shangli"
94,32,New Zealand,Massey Univ,,"Kang, Wenjuan; Zhang, Xue-Xian"
95,32,Peoples R China,Gansu Agr Univ,,"Wang, Haifang"
96,32,Peoples R China,Chinese Minist Educ,,"Shi, Shangli"
97,33,MN 55108 USA,Univ Minnesota,,"Sathoff, Andrew E.; Samac, Deborah K."
98,33,MN 55108 USA,USDA ARS,,"Dornbusch, Melinda R.; Miller, Susan S.; Samac, Deborah K."
99,33,SD 57042 USA,Dakota State Univ,,"Sathoff, Andrew E."
100,34,France,Univ Paris Est Creteil,,"Helaoui, Sondes; Mkhinini, Marouane; Boughattas, Iteb; Banni, Mohamed"
101,34,France,Univ Paris Est Creteil,,"Mkhinini, Marouane; Alphonse, Vanessa; Giusti-Miller, Stephanie; Livet, Alexandre; Bousserrhine, Noureddine"
102,35,Peoples R China,Nanjing Tech Univ,,"Zhu, Zhiyu; Zhang, Huanhuan; Leng, Jing; Niu, Huanqing; Chen, Xiaochun; Liu, Dong; Chen, Yong; Gao, Nan; Ying, Hanjie"
103,36,MN 55108 USA,Univ Minnesota,,"Sathoff, Andrew E.; Samac, Deborah A."
104,36,SD 57042 USA,Dakota State Univ,,"Sathoff, Andrew E."
105,36,Canada,Univ Calgary,,"Lewenza, Shawn"
106,36,Canada,Athabasca Univ,,"Lewenza, Shawn"
107,36,MN 55108 USA,USDA ARS,,"Samac, Deborah A."
108,37,CA 93648 USA,ARS,,"Sisterson, Mark S.; Dwyer, Donal P.; Uchima, Sean Y."
109,38,Hungary,Biol Res Ctr,,"Lima, Rui M.; Kylarova, Salome; Kondorosi, Eva"
110,38,France,Univ Paris Saclay,,"Mergaert, Peter"
111,39,Australia,Charles Sturt Univ,,"Champness, M. R.; McCormick, J., I"
112,39,Australia,Graham Ctr Agr Innovat,,"Champness, M. R.; McCormick, J., I; Bhanugopan, M. S.; McGrath, S. R."
113,39,Australia,Charles Sturt Univ,,"Bhanugopan, M. S.; McGrath, S. R."
114,40,Peoples R China,Gansu Agr Univ,,"Zhao, Ying; Wei, Xiaohong"
115,40,OH 44242 USA,Kent State Univ,,"Long, Yu"
116,40,Peoples R China,Gansu Agr Univ,,"Ji, Xiangzhuo"
117,41,Australia,Agr Victoria,,"Nie, Z. N.; Slocombe, L.; Behrendt, R.; Raeside, M.; Clark, S."
118,41,Australia,Agr Victoria,,"Jacobs, J. L."
119,42,Pakistan,Univ Agr Faisalabad,,"Mushtaq, Muhammad Naeem; Arshad, Muhammad; Majeed, Shahid"
120,42,Pakistan,Univ Agr Faisalabad,,"Khan, Sajid Aleem"
121,43,Peoples R China,Nanjing Agr Univ,,"Liu, Mohan; Zhao, Zhuojun; Chen, Lu; Wang, Leqi; Ji, Lingzhen; Xiao, Yan"
122,44,Denmark,Univ Copenhagen,,"Han, Eusun; Dresboll, Dorte Bodin; Thorup-Kristensen, Kristian"
123,45,Peoples R China,Qinghai Univ,,"Cui, Zhanhong; Li, Jilan; Chai, Shatuo; Wang, Lei; Wang, Xun; Zhang, Xiaowei; Liu, Shujie"
124,45,Peoples R China,Northwest A&F Univ,,"Cui, Zhanhong; Wu, Shengru; Yao, Junhu"
125,45,Peoples R China,Chinese Acad Sci,,"Yang, Qi-En"
126,46,Peoples R China,Shanghai Jiao Tong Univ,,"Su, Liantai; Lv, Aimin; Wen, Wuwu; Zhou, Peng; An, Yuan"
127,46,Peoples R China,Minist Agr,,"An, Yuan"
128,47,Italy,Council Agr Res & Econ CREA,,"Annicchiarico, P.; Carelli, M.; Nazzicari, N."
129,47,CA 95616 USA,Univ Calif Davis,,"Brummer, E. C."
130,48,Canada,Agr & Agri Food Canada,,"Ong, Mikhaela; Chomistek, Nora; Dayment, Hanna; Baines, Danica"
131,48,Canada,LCB Res LLC,,"Goerzen, Wayne"
132,49,WI 53706 USA,Univ Wisconsin,,"Feng, Luwei; Zhang, Zhou; Ma, Yuchi; Williams, Parker; Drewry, Jessica; Luck, Brian"
133,49,Peoples R China,Wuhan Univ,,"Feng, Luwei; Du, Qingyun"
134,49,Peoples R China,Wuhan Univ,,"Du, Qingyun"
135,49,Peoples R China,Wuhan Univ,,"Du, Qingyun"
136,50,Australia,Agr Victoria,,"Burnett, Vivianne F.; Mitchell, Meredith L."
137,50,Australia,Agr Victoria,,"Butler, Kym L.; Clark, Steve G.; Nie, Zhongnan"
138,50,Australia,Jeff Hirth Editorial & Agron Serv,,"Hirth, Jeff R."
139,51,Peoples R China,Chinese Acad Agr Sci CAAS,,"Li, Shuo; Wan, Liqiang; Li, Xianglin"
140,51,Australia,Dept Jobs Precincts & Reg,,"Nie, Zhongnan"
141,52,Australia,Res Sch Biol,,"Veliz-Vallejos, Debora F.; Kawasaki, Akitomo; Mathesius, Ulrike"
142,52,Australia,CSIRO Agr & Food,,"Kawasaki, Akitomo"
143,53,NM 87499 USA,New Mexico State Univ,,"Djaman, Koffi; Smeal, Daniel; Allen, Samuel"
144,53,Togo,ADA Consulting Africa,,"Koudahe, Komlan"
145,54,Peoples R China,China Agr Univ,,"Wang, Hui; Mao, Peisheng"
146,54,Peoples R China,Southwest Minzu Univ,,"Wang, Hui; Zhou, Qingping"
147,55,Poland,Univ Warmia & Mazury,,"Olszewska, Marzenna; Grzegorczyk, Stefan; Grabowski, Kazimierz"
148,56,Pakistan,Univ Agr Faisalabad,,"Javaid, Tariq; Sadaqat, Hafeez Ahmad; Iqbal, Muhammad Ahsan"
149,56,Pakistan,Univ Agr Faisalabad,,"Wahid, Muhammad Ashfaq"
150,57,Belgium,Univ Ghent,,"Ribeiro, Bianca; Lacchini, Elia; Bicalho, Keylla U.; Mertens, Jan; Arendt, Philipp; Vanden Bossche, Robin; Calegario, Gabriela; Gryffroy, Lore; Ceulemans, Evi; Goossens, Alain; Pollier, Jacob"
151,57,Belgium,VIB Ctr Plant Syst Biol,,"Ribeiro, Bianca; Lacchini, Elia; Bicalho, Keylla U.; Mertens, Jan; Arendt, Philipp; Vanden Bossche, Robin; Calegario, Gabriela; Gryffroy, Lore; Ceulemans, Evi; Goossens, Alain; Pollier, Jacob"
152,57,Brazil,Sao Paulo State Univ UNESP,,"Bicalho, Keylla U."
153,57,France,Univ Angers,,"Buitink, Julia"
154,57,Belgium,VIB Metab Core,,"Pollier, Jacob"
155,58,Peoples R China,Chinese Acad Sci & Minist Water Resources,,"Ge, Jiamin; Fan, Jun; Yang, Xueting; Wang, Sheng"
156,58,Peoples R China,Univ Chinese Acad Sci,,"Ge, Jiamin; Yang, Xueting; Wang, Sheng"
157,58,Peoples R China,Northwest A&F Univ,,"Fan, Jun; Yuan, Hongyou; Jin, Mu"
158,59,Vietnam,Hue Univ,,Hoang Thi Kim Hong; Pham Thi Hong Trang
159,59,Vietnam,Hue Univ,,Dang Thanh Long
160,59,Vietnam,Hue Univ,,Nguyen Thi Quynh Trang
161,60,Peoples R China,Shanxi Agr Univ,,"Xia, F. S.; Wang, Y. C.; Wang, F.; Wang, C. C.; Zhu, H. S.; Liu, M.; Huai, Y. M.; Dong, K. H."
162,61,Belgium,Univ Liege,,"Davin, Marie; Renard, Elisa; Lefebure, Kevin; Colinet, Gilles"
163,61,Belgium,Univ Liege,,"Davin, Marie; Fauconnier, Marie-Laure"
164,62,ND 58108 USA,North Dakota State Univ,,"Trotta, Ronald J.; Swanson, Kendall C."
165,63,Canada,Agr & Agri Food Canada,,"Jin, L.; McAllister, T.; Wang, Y."
166,63,France,Lallemand SAS,,"Chevaux, E."
167,63,Canada,Best Environm Technol Inc,,"Baah, J."
168,63,WI 53218 USA,Lallemand Specialties Inc,,"Drouin, P."
169,64,Australia,Australian Natl Univ,,"Chapman, Kelly; Ivanovici, Ariel; Taleski, Michael; Ng, Jason L. P.; Mohd-Radzman, Nadiatul A.; Mathesius, Ulrike; Djordjevic, Michael A."
170,64,England,Univ Nottingham,,"Sturrock, Craig J."
171,64,France,Univ Paris Saclay,,"Frugier, Florian"
172,64,England,Univ Nottingham,,"Bennett, Malcolm J."
173,65,Greece,Univ Thessaly,,"Skiada, Vasiliki; Avramidou, Marianna; Papadopoulou, Kalliope K."
174,65,Italy,Univ Torino,,"Bonfante, Paola; Genre, Andrea"
175,66,Peoples R China,Hebei Normal Univ Nationalities,,"Xiong, Xue"
176,66,Peoples R China,Nanjing Agr Univ,,"Xiong, Xue; Chen, Ji-hui; Zhang, Ying-jun"
177,66,Peoples R China,China Agr Univ,,"Wei, Yu-qi; Liu, Nan; Zhang, Ying-jun"
178,66,Peoples R China,Minist Agr,,"Zhang, Ying-jun"
179,67,Italy,CREA Res Ctr Anim Prod & Aquaculture,,"Tava, Aldo; Biazzi, Elisa; Ronga, Domenico"
180,67,Italy,Univ Pavia,,"Mella, Mariella; Doria, Filippo"
181,67,Italy,Univ Salento,,"Accogli, Rita"
182,67,Italy,Univ Bari Aldo Moro,,"Argentieri, Maria Pia; Avato, Pinarosa"
183,68,Tunisia,ISA,,"Helaoui, Sondes; Boughattas, Iteb; Mkhinini, Marouane; Banni, Mohamed"
184,68,Tunisia,Reg Res Ctr Hort & Organ Agr,,"Hattab, Sabrine"
185,68,France,Univ Paris Est Creteil,,"Alphonse, Vanessa; Livet, Alexandre; Bousserrhine, Noureddine"
186,69,Tunisia,Ctr Biotechnol Borj Cedria,,"Batnini, Marwa; Haddoudi, Imen; Kallala, Nadia; Zribi, Kais; Mrabet, Moncef; Mhadhbi, Haythem"
187,69,Tunisia,Univ Tunis El Manar UTM,,"Batnini, Marwa; Haddoudi, Imen; Kallala, Nadia"
188,69,Spain,Univ Granada,,"Batnini, Marwa; Lopez-Gomez, Miguel; Palma, Francisco"
189,70,Australia,Univ Adelaide,,"Watts-Williams, Stephanie J.; Thi Diem Nguyen"
190,70,Australia,Univ Adelaide,,"Watts-Williams, Stephanie J.; Thi Diem Nguyen"
191,70,Vietnam,Hue Univ,,Thi Diem Nguyen
192,70,Australia,Univ Adelaide,,"Kabiri, Shervin; Losic, Dusan"
193,70,Australia,Univ Adelaide,,"Kabiri, Shervin; McLaughlin, Michael J."
194,71,Spain,Univ Politecn Madrid,,"Escudero, Viviana; Abreu, Isidro; Tejada-Jimenez, Manuel; Rosa-Nunez, Elena; Isabel Prieto, Rosa; Gonzalez-Guerrero, Manuel"
195,71,MA 01609 USA,Worcester Polytech Inst,,"Quintana, Julia; Arguello, Jose M."
196,71,France,Univ Toulouse,,"Larue, Camille"
197,71,OK 73401 USA,Noble Res Inst,,"Wen, Jiangqi; Mysore, Kirankumar S."
198,71,France,European Synchrotron Radiat Facil,,"Villanova, Julie"
199,71,France,European Synchrotron Radiat Facil,,"Castillo-Michel, Hiram"
200,71,Spain,CSIC,,"Imperial, Juan"
201,71,Spain,Univ Politecn Madrid,,"Gonzalez-Guerrero, Manuel"
202,72,Greece,Agr Univ Athens,,"Komaitis, Fotios; Kalliampakou, Katerina; Kalloniati, Chrysanthi; Skliros, Dimitrios; Flemetakis, Emmanouil"
203,72,Greece,Univ Ioannina,,"Botou, Maria; Frillingos, Stathis"
204,72,Greece,Univ Thessaly,,"Nikolaidis, Marios; Amoutzias, Grigoris D."
205,72,Germany,Albert Ludwig Univ Freiburg,,"Du, Baoguo; Rennenberg, Heinz"
206,72,Saudi Arabia,King Saud Univ,,"Rennenberg, Heinz"
207,73,Italy,CREA Consiglio Ric Agr Anal & Econ Agr,,"Carelli, Maria; Cabassi, Giovanni; Aggiato, Michele S.; Biazzi, Elisa; Scotti, Carla"
208,73,Italy,Parco Tecnol Padano,,"Abbruscato, Pamela; Losini, Ilaria"
209,74,Peoples R China,Nanjing Agr Univ,,"Wang, Shumin; Shen, Yixin"
210,74,Peoples R China,Chinese Acad Agr Sci,,"Wang, Shumin; Wang, Zhen; Kang, Junmei; Yang, Qingchuan; Long, Ruicai"
211,74,Peoples R China,Beijing Forestry Univ,,"Guo, Tao"
212,75,Peoples R China,Lanzhou Univ,,"Shi, Lina; Guo, Yarong; Ning, Jiao; Lou, Shanning; Hou, Fujiang"
213,76,KY 40546 USA,Univ Kentucky,,"Yu, Xiaocheng; Qin, Qiulin; Wu, Xia; Li, Dandan; Yang, Shengming"
214,76,ND 58102 USA,North Dakoda State Univ,,"Li, Dandan"
215,76,ND 58102 USA,USDA ARS,,"Yang, Shengming"
216,77,Czech Republic,Palacky Univ Olomouc,,"Hrbackova, Miroslava; Dvorak, Petr; Takac, Tomas; Ticha, Michaela; Luptovciak, Ivan; Samajova, Olga; Ovecka, Miroslav; Samaj, Jozef"
217,78,Australia,Agr Victoria Res,,"Muir, S. K."
218,78,Australia,Thrive Agri Serv,,"Kennedy, A. J."
219,78,Australia,36 Paynes Rd,,"Kearney, G."
220,78,Australia,Murdoch Univ,,"Hutton, P.; Thompson, A. N."
221,78,Australia,Univ Western Australia,,"Hutton, P.; Vercoe, P."
222,78,Australia,Univ Western Australia,,"Vercoe, P."
223,78,Australia,Ternes Agr Consulting,,"Hill, J."
224,79,Tunisia,Univ Tunis El Manar,,"Kabtni, Souhir; Sdouga, Dorra; Trifi-Farah, Neila; Marghali, Sonia"
225,79,Belgium,Univ Liege,,"Rebey, Ines Bettaib; Save, Mattew; Fauconnier, Marie-Laure"
226,80,Peoples R China,Chinese Acad Sci,,"Chen, Haitao; Zeng, Yan; Li, Wei; Zhang, Yesheng; Wang, Wen"
227,80,Peoples R China,Guangdong Sanjie Forage Biotechnol Co Ltd,,"Chen, Haitao; Huang, Lingli; Tang, Bolin; Li, Wei; Zhang, Xiaoshuang"
228,80,Peoples R China,Sanjie Inst Forage,,"Chen, Haitao; Huang, Lingli; Tang, Bolin; Li, Wei; Zhang, Xiaoshuang"
229,80,Peoples R China,Univ Chinese Acad Sci,,"Chen, Haitao; Zeng, Yan; Li, Wei"
230,80,Peoples R China,Univ Chinese Acad Sci,,"Chen, Haitao; Zeng, Yan; Li, Wei"
231,80,Peoples R China,Lanzhou Univ,,"Yang, Yongzhi; Tang, Bolin; Liu, Yanbin; Bao, Aike; Shang, Zhanhuan"
232,80,Peoples R China,Northwestern Polytech Univ,,"Huang, Lingli; Zhang, Ru; Li, Yongxin; Wang, Kun; Wang, Zhongkai; Wang, Wen; Qiu, Qiang"
233,80,Peoples R China,BGI Qingdao,,"Zhang, He; Fan, Guangyi"
234,80,Peoples R China,Northwestern Polytech Univ,,"Hao, Fei; Yang, Hui"
235,80,Peoples R China,Xishuangbanna Trop Bot Garden,,"Li, Youhan; He, Hua; Chen, Jianghua"
236,81,Peoples R China,Chinese Acad Agr Sci,,"Ma, Jiangtao; Gao, Hongwen; Wen, Hongyu; Wu, Yudi; Pang, Yongzhen; Wang, Xuemin; Qin, Yuchang"
237,81,Australia,Australian Natl Univ,,"Qiu, Deyun"
238,82,IL 60439 USA,NCI,,"Sekula, Bartosz; Ruszkowski, Milosz; Dauter, Zbigniew"
239,82,Poland,Polish Acad Sci,,"Ruszkowski, Milosz"
240,83,OK 73036 USA,ARS,,"Wagle, Pradeep; Northup, Brian K.; Neel, James P. S."
241,83,CA 92507 USA,ARS,,"Skaggs, Todd H."
242,83,MS 38776 USA,ARS,,"Gowda, Prasanna H."
243,84,Peoples R China,Jilin Univ,,"Bao, Guozhang; Tang, Wenyi; An, Qirui; Liu, Yaoxin; Tian, Jiaqi; Zhao, Nan; Zhu, Saning"
244,85,Peoples R China,Chinese Acad Sci,,"He, Liangliang; Liu, Yu; He, Hua; Zhang, Xiaojia; Li, Youhan; Mao, Yawen; Zhou, Shaoli; Zheng, Xiaoling; Bai, Quanzi; Zhao, Baolin; Xia, Yongmei; Chen, Jianghua"
245,85,Peoples R China,Chinese Acad Sci,,"He, Liangliang; Liu, Yu"
246,85,Peoples R China,Univ Chinese Acad Sci,,"He, Liangliang; Zhang, Xiaojia; Mao, Yawen; Zhou, Shaoli; Zheng, Xiaoling; Bai, Quanzi; Chen, Jianghua"
247,85,Peoples R China,Univ Sci & Technol China,,"Liu, Ye; Qi, Jinfeng; Wang, Dongfa; Chen, Jianghua"
248,85,OK USA,Noble Res Inst,,"Wen, Jiangqi; Mysore, Kirankumar S."
249,85,OK USA,Oklahoma State Univ,,"Tadege, Million"
250,86,Sweden,Swedish Univ Agr Sci SLU,,"Shigei, Makoto; Dalahmeh, Sahar S."
251,86,Jordan,Royal Sci Soc,,"Hazaymeh, Ayat"
252,86,Sweden,Swedish Univ Agr Sci SLU,,"Ahren, Lutz"
253,87,Peoples R China,China Agr Univ,,"Wang, Bing"
254,87,Peoples R China,China Agr Univ,,"Gao, Run; Wu, Zhe; Yu, Zhu"
255,88,Peoples R China,Gansu Agr Univ,,"Li, Haiyun; Yao, Tuo; Ma, Yachun; Zhang, Huirong; Yang, Xiaolei; Li, Changning"
256,88,Peoples R China,Gansu Agr Univ,,"Li, Haiyun; Yao, Tuo; Ma, Yachun; Zhang, Huirong; Yang, Xiaolei; Li, Changning"
257,88,Peoples R China,Lanzhou Univ,,"Qiu, Yizhi"
258,89,Tunisia,Univ Tunis El Manar,,"Kabtni, Souhir; Sdouga, Dorra; Hakim, Lamia; Trifi-Farah, Neila; Marghali, Sonia"
259,90,Peoples R China,Hebei Univ Technol,,"Wu, Zhaoliang; Shu, Ting; Zhang, Mengwei; Liu, Wei"
260,91,Slovenia,Univ Ljubljana,,"Kralj Cigic, Irena; Rijavec, Tjasa"
261,91,Slovenia,Univ Ljubljana,,"Rupnik, Saso; Poklar Ulrih, Natasa; Cigic, Blaz"
