,paper_id,financial_name,financial_code,type
39,18,"Noble Research Institute, LLC.",,
40,19,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31271751,
41,19,Natural Science Foundation of Shandong provinceNatural Science Foundation of Shandong Province,"ZR2012CL16, ZR2010CQ025",
42,20,USDA-ARSUnited States Department of Agriculture (USDA),2034-22000-012-00D,
43,22,"program of Gansu Provincial Key Laboratory of Aridland Crop Science, Gansu Agricultural University","GSCS-2019-04, GSCS-2020-Z2",
44,22,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"31860364, 31560379, 41461067",
45,22,Natural Science Foundation of Gansu Province,18JR3RA175,
46,23,"Mohammed VI Polytechnic University (UM6P, Morocco)",,
47,23,"Office Cherifien des Phosphates (OCP, Morocco)",,
48,23,Lincoln University,,
49,24,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"31700244, U1702234, 31471171",
50,24,STS of CAS,KFJ-STS-ZDTP-076,
51,25,CSIRO AF,,
52,26,United State Department of Agriculture NIFA_AFRP,2015-70005-24071,
53,26,Agriculture Research Service base fund,,
54,27,Animal Physiology and Livestock Systems (PHASE) division of INRA,,
55,27,French Horse and Riding Institute (IFCE),,
56,28,"National Institute of Food and Agriculture, US Department of Agriculture Hatch Multi-state research formula fund",WIS01941,
57,28,USDA-NIFA,,
58,28,"Washington, DC",2013-68002-20525,
59,29,National Natural Science Foundation projects of ChinaNational Natural Science Foundation of China,"31872408, 31572451",
60,29,National Key R&D Program of China,2017FY100600,
61,29,Shanghai Agricultural Commission Projects of China,Hu-Agri2017No1-3,
62,30,Agropolis Fondation (E-Space flagship program),1504-004,
63,31,National Key Research and Development Plan of China,2017YFC0504504,
64,31,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,41301570,
65,31,Light of West China Program of Chinese Academy of Sciences,,
66,31,Fundamental Research Funds for Central Universities in China,,
67,32,Gansu Agricultural University Keyanqidong,GAU-KYQD-2019-09,
68,32,National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China,31560666,
69,32,Science and Technology Program of Gansu Province,19ZD2NA002-3,
70,32,National Modern Agricultural Industry Technical system,CARS-34,
71,32,"MBIE Catalyst Fund, New Zealand",92846082,
72,33,USDA-ARSUnited States Department of Agriculture (USDA),5062-12210-003D,
73,33,Torske Klubben Fellowship,,
74,35,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31972503,
75,35,Natural Science Foundation of the Higher Education Institutions of Jiangsu Province,18KJB210007,
76,35,"Jiangsu Synergetic Innovation Center for Advanced Bio-Manufacture, China",XTE1828,
77,36,USDA-ARSUnited States Department of Agriculture (USDA),5062-12210003D,
78,36,Torske Klubben Fellowship,,
79,37,United States Department of Agriculture (USDA) Agricultural Research ServiceUnited States Department of Agriculture (USDA),2034-22000-012-00D,
80,38,"Hungarian National Office for Research, Development and Innovation (NKFIH)","GINOP 2.3.215-2016-00014, GINOP 2.3.2-15-2016-00015 I-KOM",
81,38,Frontline Research project,KKP129924,
82,38,Balzan research grant,,
83,39,Graham Centre for Agricultural Innovation,,
84,40,National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China,31560663,
85,41,DJPR,,
86,43,Natural Science Foundation of Jiangsu ProvinceJiangsu Planned Projects for Postdoctoral Research FundsNatural Science Foundation of Jiangsu Province,BK20171378,
87,43,Earmarked Fund for China Agriculture Research System,CARS-34,
88,44,Villum Foundation,,
89,45,National Key R&D Program of China,"2016YFC0501805, 2017YFD0500500",
90,45,Thousand-person Plan of Qinghai High-end Innovative Talents (top-notch talents),,
91,45,Program for Qinghai Science and Technology,2020-ZJ-911,
92,45,"CAS ""Light of West China"" Program",3-1,
93,45,China Postdoctoral Science FoundationChina Postdoctoral Science Foundation,2019M653774,
94,45,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31902184,
95,46,National Key R&D Program of China,2017YFD0502105,
96,46,Chinese Natural Science Foundation General Projects,31872408,
97,47,"Italian Ministry of Agricultural, Food and Forestry Policies",,
98,47,Samuel Roberts Noble Foundation,,
99,48,Alfalfa Seed Commission of Alberta,,
100,49,"National Institute of Food and Agriculture, United States Department of AgricultureUnited States Department of Agriculture (USDA)",WIS03026,
101,50,"Victorian Department of Jobs, Precincts and Regions",,
102,50,"Department of Primary Industries, Agriculture and Food Initiative",,
103,50,Grains Research and Development CorporationGrains R&D Corp,DAV 399,
104,51,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31772671,
105,52,Becas Chile,,
106,52,Australian Research CouncilAustralian Research Council,FT100100669,
107,53,New Mexico State University (NMSU),,
108,53,Agricultural Science Center at Farmington,,
109,54,China Agriculture Research System,CARS-34,
110,54,earmarked fund for the Beijing Common Construction Project,,
111,57,Research Foundation FlandersFWO,,
112,57,Program Ciencias Sem Fronteiras,"201135/2014-0, 202776/2014-0",
113,57,FAPESP - Sao Paulo Research FoundationFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP),2017/10911-1,
114,57,VIB (International PhD Fellowship Program predoctoral fellowship),,
115,57,European UnionEuropean Union (EU),"Endoscape-825730, Eucleg-727312",
116,57,Ghent University (Concerted Research Actions project),BOF18/GOA/013,
117,58,Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences,XDA23070202,
118,58,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,41977016,
119,59,"National Foundation for Science and Technology Development (NAFOSTED), VietnamNational Foundation for Science & Technology Development (NAFOSTED)",106-NN.02-2014.13,
120,60,Natural Science Foundation of ChinaNational Natural Science Foundation of China,NSFC31702171,
121,60,key research and development program of Shanxi,201903D221091,
122,60,Science and Technology Innovation Fund of Shanxi Agricultural University,2016YJ15,
123,62,Carl A. and Jean Y. White Memorial Endowment for Agricultural Research,,
124,62,NDSU Foundation,,
125,62,Alumni Association,,
126,63,Lallemand Animal Nutrition,,
127,63,Alberta Livestock and Meat Agency Ltd.,,
128,63,Agriculture and Agri-Food CanadaAgriculture & Agri Food Canada,,
129,64,Agence Nationale de la Recherche Labex Saclay Plant ScienceFrench National Research Agency (ANR),,
130,64,Australian Postgraduate AwardAustralian Government,,
131,64,Australian Research CouncilAustralian Research Council,No. DP150104250,
132,64,Centre National de la Recherche ScientifiqueCentre National de la Recherche Scientifique (CNRS),,
133,64,"Lidex ""Plant Phenotyping Pipeline""",,
134,64,A.W. Howard fellowship,,
135,64,H2020 Research Infrastructures,731013,
136,65,COST ActionEuropean Cooperation in Science and Technology (COST),"FA1405, FA1206",
137,65,COST AlphactionEuropean Cooperation in Science and Technology (COST),"FA1405, FA1206",
138,65,"Department of Biochemistry and Biotechnology, University of Thessaly",,
139,65,GGSRT/EU/NSRF,4757.17,
140,65,"Postgraduate Programme 3817 of the Department of Biochemistry and Biotechnology, University of Thessaly",,
141,65,STSM,,
142,65,GGSRT/EU/ NSRF,4757.17,
143,66,China Forage and Grass Research System,CARS-34,
144,68,Ministere de l'Enseignement Superieur et de la Recherche Scientifique,UR04A6R05,
145,69,"Ministry of Higher Education and Scientific Research, Tunisia",,
146,69,"University of Tunis El Manar, Tunisia",,
147,70,University of Adelaide Ramsay Fellowship,,
148,70,Australian Research Council (ARC) Centre of Excellence in Plant Energy BiologyAustralian Research Council,CE140100008,
149,70,ARC Discovery GrantAustralian Research Council,DP150101760,
150,70,ARC Research Hub for Graphene Enabled Industry TransformationAustralian Research Council,IH150100003,
151,70,"University of Adelaide, School of Chemical Engineering",,
152,71,Ministerio de Economia y CompetitividadSpanish Government,AGL2015-65866-P,
153,71,European Research CouncilEuropean Research Council (ERC),ERC-2013-StG-335284,
154,71,"National Science Foundation, USANational Science Foundation (NSF)",DBI-0703285,
155,71,Severo Ochoa Programme for Centres of Excellence in R&D from Agencia Estatal de Investigacion of Spain by Centro de Biotecnologia y Genomica de Plantas,SEV-2016-0672,
156,71,"Juan de la Cierva-Formacion postodoctoral fellowship from Ministerio de Ciencia, Innovacion y Universidades",FJCI-2017-33222,
157,72,Onassis Foundation,,
158,72,Bodossaki Foundation,BDA-394,
159,73,"Regione Lombardia, Fondo per la promozione di Accordi IstituzionaliRegione Lombardia",15083/RCC,
160,74,Agricultural Science and Technology Innovation Program,ASTIP-IAS14,
161,74,Fundamental Research Funds for Central Non-profit Scientific Institution,2017ywf-2d-3,
162,74,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31772663,
163,75,Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences,XDA20100102,
164,75,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31672472,
165,75,National Key Basic Research Program of ChinaNational Basic Research Program of China,2014CB138706,
166,75,Program for Changjiang Scholars and Innovative Research Team in UniversityProgram for Changjiang Scholars & Innovative Research Team in University (PCSIRT),IRT_17R50,
167,76,College of Agriculture of the University of Kentucky,,
168,76,KTRDC Summit,,
169,77,European Regional Development FundEuropean Union (EU),,
170,77,"European Union (ERDF) project ""Plants as a tool for sustainable global development""European Union (EU)",CZ.02.1.01/0.0/0.0/16_019/0000827,
171,78,"Victorian Department of Jobs, Precints and Regions",,
172,78,Australian Government Department of AgricultureAustralian Government,,
173,79,Tunisian Ministry of Higher Education,,
174,80,"Guangdong Sanjie Forage Biotechnology Co., Ltd.",,
175,80,Sanjie Research Institute of Forage,,
176,80,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"U1702234, KFJ-STS-ZDTP-076, XD27030106",
177,80,"""Hundred Talent Program"" of Chinese Academy of SciencesChinese Academy of Sciences",,
178,80,Yunnan Provincial High-end Talents Program,,
179,81,Earmarked Fund for China Agriculture Research System,CARS-34,
180,81,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31872410,
181,81,National Crop Germplasm Resources Center,NICGR-78,
182,81,Agricultural Science and Technology Innovation Program,ASTIP-IAS10,
183,82,U.S. Department of Energy,DOE,
184,82,"DOE, Office of Biological and Environmental ResearchUnited States Department of Energy (DOE)",DE-AC02-06CH11357,
185,82,DOE Office of Science User FacilityUnited States Department of Energy (DOE),DE-AC02-06CH11357,
186,82,National Institute of General Medical Sciences (NIGMS)United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),9 P41 GM103622,
187,82,NIGMSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS),1S10OD018090-01,
188,82,"Intramural Research Program of the National Cancer Institute, Center for Cancer ResearchUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)",,
189,83,USDA-NIFAUnited States Department of Agriculture (USDA),2019-68012-29888,
190,84,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31772669,
191,85,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"U1702234, 31471171, XDB27030106",
192,85,Yunnan Applied Basic Research Project,2016FB041,
193,85,One Hundred Talent Project of the Chinese Academy of SciencesChinese Academy of Sciences,,
194,85,High-end Scientific and Technological Talents in Yunnan Province,"2015HA031, 2015HA032",
195,85,"CAS 135 program and Core Botanical Gardens, Chinese Academy of Sciences",,
196,86,Swedish Research Council (FORMAS) through the project 'Pharmaceutical Pollution at Use of Wastewater in Crop Production',219-2013-1963,
197,87,China Forage and Grass Research System,CARS-34,
198,87,Demonstration Project of Exploitation and Utilization of High Quality Green and Rough Feed Resources,16190051,
199,88,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31660688,
200,88,"opening foundation of the Key Laboratory of Grassland Ecosystem, Gansu Agricultural University, Ministry of Education",GAU-XKJS-2018007,
201,91,Slovenian Research AgencySlovenian Research Agency - Slovenia,"P4-0121, P1-0153",
202,92,National Science FoundationNational Science Foundation (NSF),NSF-0703285,
203,92,German Research Foundation (Deutsche Forschungsgemeinschaft) under Germany's Excellence StrategyGerman Research Foundation (DFG),"CIBSS EXC-2189, 39093984",
204,92,University of CambridgeUniversity of Cambridge,,
205,92,Bill and Melinda Gates Foundation (Engineering Nitrogen Symbiosis for Africa project),OPP1172165,
206,92,China Scholarship CouncilChina Scholarship Council,201708080016,
207,92,"Laboratoire de Recherche en Sciences Vegetales, TULIP LABEX, Agence Nationale de la RechercheFrench National Research Agency (ANR)",ANR-10-LABX-41,
208,93,Southern SARE,LS17-286,
209,93,CHFoundation,,
210,94,New Mexico Agricultural Experiment Station,"NM-LAURIAULT10H-221381, NM-LAURIAULT-14H1004803",
211,95,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior-Brasil (CAPES)CAPES,001,
212,96,CH Foundation,,
213,96,Southern SARE,LS17-286,
214,97,Agriculture and Food Research Initiative from the USDA National Institute of Food and Agriculture,2014-67013-22418,
215,98,"Poland's Ministry of Science and Higher Education as part of the statutory activities of the Department of Agronomy, University of Science and Technology in Bydgoszcz",,
216,99,"Higher Education Institutional Excellence Programme of the Ministry of Innovation and Technology in Hungary, within University of Debrecen",NKFIH-1150-6/2019,
217,100,Agri-Innovation Program of Agriculture and Agri-Food Canada's Growing Forward 2 Policy,,
218,100,Eatmore Sprouts Greens Ltd.,,
219,100,"Jonathan Sprouts, Inc.",,
220,100,Mumm's Sprouting Seeds through the Organic Science Cluster II,,
221,100,Organic Agriculture Centre of Canada,,
222,100,Organic Federation of Canada,,
223,101,Dairy AustraliaDairy Australia,,
224,101,"Queensland Government, C4Milk project",C100002458,
225,102,Dairy AustraliaDairy Australia,,
226,102,"Queensland Government, C4Milk project",C100002458,
227,104,Yildiz Technical University Scientific Research Projects Coordination DepartmentYildiz Technical University,FDK-2018-3237,
228,105,,POS 2.2.1,
229,105,,622/11.03.2014,
230,106,Department of Computer Science at the University of Minnesota,,
231,106,National Science FoundationNational Science Foundation (NSF),"IOS-1237993, IOS-1126950",
232,107,National Science FoundationNational Science Foundation (NSF),"IOS-135497, IOS-1331098, IOS-1546742, DBI-0703285, IOS-1127155, NSF 1340058, 1743594, 1139489, 1639618",
233,109,Agriculture Research Foundation,,
234,110,"National Science Foundation (NSF), Division of Integrative Organismal SystemsNational Science Foundation (NSF)",1444549,
235,110,Oklahoma Center for the Advancement of Science and Technology (OCAST),PS18-012,
236,110,Noble Research Institute,,
237,110,Novo Nordisk FondenNovo Nordisk Foundation,NNF17OC0024884,
238,111,United State Department of Agriculture National Institute of Food and Agriculture,2015-70005-24071,
239,112,United States Department of Agriculture Agricultural Research Service (USDA-ARS)United States Department of Agriculture (USDA),2090-21000-036-00D,
240,113,Fondo de Valorizacion Tecnologica,FVT-39,
241,113,Fondo para la Investigacion Cientifica y Tecnologica,PICT-2017-0674,
242,115,"National Key Research and Development Program of China (Beijing, China)",2017YFE0104300,
243,115,"National Natural Science Foundation of China (Beijing, China)National Natural Science Foundation of China",31872421,
244,116,"Dairy of Farmers of Canada (Ottawa, ON)",,
245,116,Agriculture and Agri-Food Canada's Matching Investment InitiativeAgriculture & Agri Food Canada,,
246,117,Brazilian Ministry of Science and Technology (Conselho Nacional de Desenvolvimento Cientifico e Tecnologico),,
247,117,"Special Assignment Account 'Agricultural and Rural Development' (CASDAR) of the French Ministry of Agriculture, Agrifood and Forestry",CASDAR IP 5560 - ECOLAGNO,
248,118,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,51262027,
249,118,Fundamental Scientific Research Funds for the Central Universities,31920130063,
250,118,State Key Laboratory of Solidification Processing in NWPU,SKLSP201754,
251,119,"Innovative Young Biotechnologist Award from DBT, India",BT/09/IYBA/2015/12,
252,119,"SERB, India",ECR/2016/001043,
253,119,"RCB, India",,
254,119,"UGC-NET Research Fellowship, India",,
255,119,"SERB-National Postdoctoral Fellowship, India",PDF/2016/000952,
256,120,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31660688,
257,120,"opening foundation of the Key Laboratory of Grassland Ecosystem, Gansu Agricultural University, Ministry of Education",GAU-XKJS-2018-007,
258,121,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,51676065,
259,122,Russian Scientific FoundationRussian Science Foundation (RSF),16-16-10011,
260,122,SaintPetersburg State University,IAS 1.42.710.2017,
261,123,Scientific Research Fund of Department of Education of Hebei Province,QN2018014,
262,123,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31801948,
263,123,Key R&D Projects in Hebei Province,19226505D,
264,124,AgMardt,,
265,124,Asociacion Cooperadora INTA General Villegas,,
266,124,T R Ellet Trust,,
267,124,Instituto Nacional de Tecnologia Agropecuaria,PNPA1126073,
268,125,National and Science Foundation of China,"31470571, 31972507",
269,125,National Major Project for Cultivation of Transgenic Crops,2016ZX08004-002-003,
270,125,National Key Research and Development Program of China,2017YFD0101303,
271,125,Science and Technology Major Project of Heilongjiang Province,GA18B104,
272,125,Science and Technology Achievement Cultivation Project of Heilongjiang Education Department,TSTAU-R2018008,
273,125,Graduate Innovation Fund of Harbin Normal University,HSDSSCX2019-23,
274,125,Research Fund of Beijing Advanced Innovation Center for Food Nutrition and Human Health,20182018,
275,126,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"U1702234, 31471171, 31700244",
276,126,West Light Foundation of The Chinese Academy of SciencesChinese Academy of Sciences,,
277,126,Natural Science Foundation of Yunnan Province of ChinaNatural Science Foundation of Yunnan Province,2018FB033,
278,126,One Hundred Person Project of the Chinese Academy of Sciences,,
279,126,High-end Scientific and Technological Talents in Yunnan Province,,
280,126,CAS 135 program,,
281,126,"Core Botanical Gardens, Chinese Academy of Sciences (CAS-CBG)",,
282,126,US NSFNational Science Foundation (NSF),"DBI 0703285, IOS-1127155",
283,126,Noble Research Institute,,
284,126,,XDB27030106,
285,127,National Science FoundationNational Science Foundation (NSF),"DEB-1638602, DEB-1638768, DEB-1638773, DEB-1638793, DEB-1638922",
286,128,University of Pittsburgh's Department of Biological Sciences,,
287,128,Pymatuning Laboratory of Ecology's Frank J. Schwartz Early Career Research Fellowship,,
288,129,Key Projects of Guangzhou Science and Technology Plan,201904020022,
289,129,National Key Research and Development Program of China,2018YFD0600203,
290,129,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,41671268,
291,130,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior-Brasil (CAPES)CAPES,001,
292,131,Education Department of Liaoning Province of P. R. China,"LQ2019010, L2016009",
293,131,Science and Technology Department of Liaoning Province of P. R. China,20170023,
294,132,TUBITAKTurkiye Bilimsel ve Teknolojik Arastirma Kurumu (TUBITAK),TOVAG-117O874,
295,133,China Agriculture Research System,CARS-22,
296,133,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31100368,
297,133,National Basic Research Program of China (973)National Basic Research Program of China,2014CB138702,
298,134,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31802130,
299,134,National Program on Key Basic Research ProjectNational Basic Research Program of China,2017YFD0502106-1,
300,134,Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities,KJQN201948,
301,135,National Key Research and Development Plan of China,2017YFC0504504,
302,135,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,41301570,
303,135,Light of West China Program of Chinese Academy of Sciences,,
304,135,Fundamental Research Funds for Central UniversitiesFundamental Research Funds for the Central Universities,,
305,136,European Research CouncilEuropean Research Council (ERC),ERC-2011-AdG294790,
306,137,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"31672481, 31701961, CARS-22-G-04",
307,137,Natural Science Foundation of Jiangsu ProvinceJiangsu Planned Projects for Postdoctoral Research FundsNatural Science Foundation of Jiangsu Province,BK20160728,
308,138,Science And Technology Innovation Project of Beijing Forestry University,2019ZY09,
309,138,National Key Research and Development Program of China,2017YFC0504403,
310,139,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31872420,
311,140,Deanship of Scientific Research at King Saud UniversityKing Saud University,RGP-1440-094,
312,141,Inner Mongolia Natural Science Foundation,2019MS05001,
313,141,Research Project of China Institute of Water Resources and Hydropower Research,MK2019J02,
314,141,"Special Fund of State Key Laboratory of Simulation and Regulation ofWater Cycle in River Basin, China Institute ofWater Resources and Hydropower Research","SK2018ZY01, SK2018TS01",
315,141,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"51309165, 51579157, 51779156",
316,144,National Nature Science Foundation of ChinaNational Natural Science Foundation of China,"31802118, 31901386, U1906201",
317,144,earmarked fund for China Agriculture Research System,CARS34,
318,145,"EU-Project ""NutRisk Centre""",CZ.02.1.01/0.0/0.0/16_019/0000845,
319,146,Grant Agency of the Czech RepublicGrant Agency of the Czech Republic,16-21053S,
320,147,RFBRRussian Foundation for Basic Research (RFBR),19-29-05275,
321,147,RSFRussian Science Foundation (RSF),16-16-00118,
322,148,"Natural Science Research Project of Henan Education Department, China",17A230001,
323,150,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"31672477, 31971770",
324,151,"Centre SEVE (strategic cluster of the ""Fonds de recherche du Quebec sur la nature et les technologies"" (FRQNT) from the Quebec Government",,
325,151,grant program of Agriculture and Agri-Food CanadaAgriculture & Agri Food Canada,1240,
326,152,Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada,,
327,152,Beef Cattle Research Council of Canada,,
328,153,University of Life Sciences in Lublin,,
329,154,Bureau of Reclamation,ST-2018-1780-001,
330,154,NMSU Agricultural Experiment station,,
331,154,NIFA,,
332,154,Nakayama Professorship,,
333,155,Demonstration Project of Exploitation and Utilization of High-Quality Green and Rough Feed Resources Development,16190051,
334,155,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31902181,
335,156,Strategic Priority Research Program of Chinese Academy of SciencesChinese Academy of Sciences,XDA20100102,
336,156,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31672472,
337,156,Program for Changjiang Scholars and Innovative Research Team in UniversityProgram for Changjiang Scholars & Innovative Research Team in University (PCSIRT),IRT_17R50,
338,156,Major Special Science and Technology Project of Gansu Province,18ZD2FA009,
339,157,Scientific Project of Jilin Province,,
340,158,Universidad Nacional de Lomas de Zamora,IV LOMASCYT 94,
341,158,Universidad de Moron,DC/17-06/15-003,
342,158,Agencia Nacional de Promocion Cientifica y Tecnologica (ANPCyT)ANPCyT,PICT 2017-0238,
343,159,New Zealand Aid Programme,,
344,159,AgMardt,,
345,159,B+LNZ (High Country Futures),,
346,161,National Natural Science Fund of ChinaNational Natural Science Foundation of China,31672473,
347,161,Young Scientists Fund,31702164,
348,164,Swiss National Science FoundationSwiss National Science Foundation (SNSF),310030_135252/1,
349,164,Basle Foundation for Biological Research,,
350,165,"Secretaria de Ciencia y Tecnica (SECYT), Universidad Nacional de CordobaSecretaria de Ciencia y Tecnologia (SECYT)","104/02, 105/02",
351,166,National High Technology Research and Development Program of China (863 Program)National High Technology Research and Development Program of China,2011AA100606,
352,166,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,"31771868, 31501366",
353,166,Science and Technology Development Project of Jilin Province,"20190201172JC, 20190201175JC, 20150623024TC-11",
354,166,Student innovation and entrepreneurship training program of Jilin Agricultral university,,
355,167,Public University of Navarra,,
356,167,Spanish GovernmentSpanish Government,BFU2015-64001-P/MINECO/FEDER,
357,167,Catalan Government (ICREA Academia award)ICREA,,
358,168,"Vermont Agricultural Experiment Station at the University Vermont, USA",,
359,168,National Social Science Fund of China,17ZDA067,
360,169,U.S. Department of EnergyUnited States Department of Energy (DOE),DE-FG03-95ER20192,
361,170,ANR programFrench National Research Agency (ANR),,
362,170,CNRS-EC2CO program (MIME project),,
363,170,French ministry for research and higher education,,
364,171,Ministry of Environment and Food of Denmark via the COMMIT project (GUDP),34009-16-1086,
365,173,"Spanish Ministry of Economy, Industry and Competitiveness","AGL2014-53970-C2-1-R, AGL2017-84127-R",
366,173,"Ministry of Science, Innovation and Universities",BES-2015-072378,
367,174,NSERCNatural Sciences and Engineering Research Council of Canada,"SPG-P 506680, RGPIN-2017-05452",
368,174,FRQNT BMP-Innovation Doctoral Scholarship,,
369,174,Montreal Botanical Garden core funding,,
370,175,Guangzhou Science Forestry Technology and Innovation Commission,2018KJCX001,
371,175,"2018 Big Pig-producing County Reward Funds (Research and promotion of key technologies for healthy feeding of pigs and resource utilization of manure pollution), National Key RD Projects",2017YFD0502102-02,
372,175,National Natural Science Foundation of ChinaNational Natural Science Foundation of China,31702177,
373,175,Guangdong Young Innovative Talents Project,2017KQNCX015,
374,176,"Fondo para la Investigacion Cientifica y Tecnologica (AR), grant PICT Start-Up",2014-3759,
375,177,National Science FoundationNational Science Foundation (NSF),NSF-0703285,
376,177,Research Grants Council of Hong KongHong Kong Research Grants Council,"GRF17113217, GRF17126918",
377,177,"Japan Society for the Promotion of Science (JSPS)Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science","16K14958, 16H06198",
378,177,Hong Kong PhD Fellowship Scheme,,
379,177,"JSPSMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science",17F17103,
