keyword,freq
Management,136
input,135
COEFFICIENT,135
collection,135
SOD,135
Symbiosis,134
insect,134
Phenotype,133
alfalfa seed,133
breed,133
Nitrogen fixation,133
Rhizobia,132
stability,132
Diversity,131
Carbon,129
STATE,129
regulator,129
SOUTH,129
spring,129
Insect,128
Calf,128
SALMONELLA,128
requirement,128
FALL,128
distance,128
Alfalfa Hay,127
GENUS,127
MANAGEMENT,127
arbuscular mycorrhizal,127
forage legume,127
equation,126
irrigation,126
phosphorus,125
symbiont,125
CALL,124
Fodder,124
INTENSITY,124
germplasm,124
PLASMA,123
attribute,123
RHIZOSPHERE,123
branch,122
HEIGHT,122
MAIZE,122
inoculant,121
CORN,121
grazing,121
NACL,121
extraction,121
RHIZOBIA,120
Productivity,119
nest,119
uptake,119
SOUTHERN,119
Biomass production,119
ACETATE,119
Arabidopsis thaliana,119
Milk,118
seed yield,118
transcriptome,118
PLUS,118
farm,118
Irrigation,117
Forage yield,117
AERIAL,117
MDA,117
wilt,117
inhibitor,116
pah,116
METABOLISM,116
Sheep,115
E. coli,115
SATIVA,115
AMMONIA,115
Grassland,115
tannin,115
symbiosis,115
ACCURACY,115
Microbe,115
HAY,115
variability,114
amendment,114
Pressure,114
Nutritive value,114
Cutting,114
Salinity,113
organic,113
MOTIF,112
adaptation,112
fertilization,112
Carbohydrate,112
sheep,112
rhizobia,112
dairy cow,111
DELTA,111
CDNA,111
CONVERSION,111
particle,111
Drought stress,111
rhizobium,111
metabolite,111
WUE,110
grain,109
Abscisic acid,109
Grazing,109
ARABIDOPSIS,109
canopy,108
agent,108
ecosystem,108
Spatial,108
VFA,108
Ewes,107
legume plant,107
IAA,107
hay,107
Lignin,106
Ensiling,106
chromosome,106
RATHER,106
indicator,105
TMR,105
ecotype,105
MEAL,104
NEUTRAL DETERGENT FIBER,104
symbiotic interaction,104
BALANCE,104
Parasitoid,104
carotenoid,103
Inhibition,103
Escherichia coli,103
Pest,103
RHIZOBIUM,102
Association,102
Farm,102
IDENTITY,102
protocol,102
pea,101
Heat,101
steer,101
Grain,101
EMERGENCE,101
insertion,101
oat,101
cytokinin,101
RED,101
Jemalong,101
seed germination,101
PLACE,100
technology,99
CAT,99
WESTERN,99
DURATION,99
INVOLVEMENT,99
Herbicide,99
FAT,99
Differentiation,98
CHINA,98
light,98
salt tolerance,97
Proteomic,97
GEL,97
NUCLEAR,97
correlation,97
Flowering,97
Seedling,97
lactation,97
BLOOD,97
carbon,96
Transgenic alfalfa,96
EVOLUTIONARY,96
habitat,95
quantity,95
movement,95
peroxidase,95
Corn,94
incubation,94
GREENHOUSE,94
alfalfa sprout,94
LOCUS,94
SOC,94
Corn Silage,93
rhizosphere,93
CONSTANT,93
ENERGY,93
GSH,93
glucose,93
score,93
goat,92
LIFE,92
cultivation,92
REPLACEMENT,92
LIQUID,91
Phosphorus,91
REACTIVE OXYGEN,91
Transformation,91
falcata,91
GENETIC DIVERSITY,91
GAS,91
ammonia,91
muscle,91
TRACT,91
Pollinator,90
Pot experiment,90
toxicity,90
kinase,90
phenolic,90
Heavy metal,90
Fiber,90
DETERGENT FIBER,90
Auxin,89
Salmonella,89
WHITE,89
limitation,89
Red clover,89
AIR,88
alfalfa production,88
soluble sugar,88
Root system,87
CROWN,87
biosynthesis,87
FALCATA,87
Expression pattern,87
Dry matter yield,87
embryo,87
Glutathione,87
management,87
TAG,87
grassland,87
hormone,86
emergence,86
prediction,86
Activation,86
ENRICHMENT,86
Inoculant,85
FORAGE YIELD,85
sward,85
supplementation,85
water deficit,85
PEG,85
Lactic acid,84
Dairy Cow,84
COLD,84
organic matter,84
CONSUMPTION,84
platform,84
clover,84
Identification,84
medic,84
ADG,83
flux,83
rabbit,83
relative abundance,83
WALL,83
REGRESSION,83
PROGENY,83
feed intake,83
Rotation,83
expression profile,83
alfalfa crop,82
CRUDE PROTEIN,82
Energy,82
antioxidant enzyme,82
RAINFALL,82
Moisture,82
GAMMA,82
water stress,82
PERCEPTION,82
BOX,82
Phytoremediation,82
DOWNSTREAM,82
Arbuscule,82
PROVINCE,82
nitrogen fixation,82
maturity,82
pathogen,82
TEMPERATE,81
Greenhouse,81
Rhizobium,81
cell wall,81
LIGNIN,81
Community,81
root growth,81
SUMMER,81
Molecular mechanism,81
polymorphism,81
Ruminant,81
forage yield,81
Metabolism,81
Acetic acid,81
Vegetation,80
dry matter intake,80
herbage,80
substitute,80
organic acid,80
milk production,79
Forage legume,79
Dairy cow,79
BACTERIUM,78
LIGHT,78
Predator,78
Cold,78
milk,78
LOCATION,78
FUSION,78
Metabolite,78
survival,78
Sensitivity,78
VOLUME,78
PROTECTION,78
pig,77
Crude protein,77
Megachile rotundata,77
POLLEN,77
Genetic diversity,77
landrace,77
R108,77
harvesting,77
Stress response,77
RECOVERY,76
photosynthesis,76
China,76
gradient,76
herbivore,76
Signaling,76
Model legume,76
calcium,76
gene family,76
Water deficit,76
CARCASS,76
Replication,75
POLYMERASE,75
variance,75
TAXA,75
mouse,75
Chromosome,74
production system,74
Particle size,74
insecticide,74
growth rate,74
Holstein cow,74
ARGENTINA,74
Milk production,74
Model plant,73
Evolution,73
plasma membrane,73
abiotic stress,73
sampling,73
activation,73
fiber,73
FOLIAR,73
disease,73
ACCURATE,73
WHEAT,72
GAERTN,72
Seed yield,72
fruit,72
carbohydrate,72
Alfalfa seed,72
ETHYLENE,72
FABACEAE,72
Abiotic,72
Fertilization,72
superoxide dismutase,72
INITIATION,71
Goat,71
root nodule,71
establishment,71
inhibition,71
Organic matter,71
Recovery,70
Vector,70
Lactobacillus,70
DM intake,70
REDUCTASE,70
STARTER,70
identification,70
experience,70
RECOGNITION,70
meat,70
Medicago saliva,70
cocksfoot,69
SYNTHASE,69
Dairy,69
Moisture content,69
Silo,69
Horse,69
FUNGUS,69
CYSTEINE,69
HEALTH,69
In vivo,69
Wheat,69
Bacillus,68
lime,68
Fatty acid,68
Milk fat,68
Survival,68
Biosynthesis,67
phylogenetic,67
SURVIVAL,67
In situ,67
soybean,67
INACTIVATION,67
DEFICIT,67
Body weight,67
body,67
PRECURSOR,67
neutral detergent fiber,67
PLANT HEIGHT,67
LOCALIZATION,66
Red Clover,66
Medicago Sativa L,66
fatty acid,66
CLAY,66
Behavior,66
POD,66
mutation,66
pellet,66
calf,66
Acyrthosiphon pisum,66
community,66
Seed germination,65
dryland,65
Ryegrass,65
body weight,65
Toxicity,65
Gas production,65
grain yield,64
bird,64
yield component,64
plant height,64
CALF,64
CADMIUM,64
CIS,64
Management practice,64
predator,64
herbicide,64
BEETLE,64
Technology,64
CONSTITUTE,64
dry matter yield,64
Weed,64
BIOSYNTHESIS,64
taproot,64
height,63
compost,63
warm,63
Light,63
Root hair,63
genetic variation,63
MAINTENANCE,63
spray,63
Chemical Composition,63
Lateral root,63
pest,63
Ensifer meliloti,63
USA,63
RNAi,63
White clover,63
EASTERN,63
transcription factor,62
Rice,62
turkey,62
GLYPHOSATE,62
ARRANGEMENT,62
introduction,62
Lactobacillus plantarum,62
mirna,62
EXPANSION,62
saline condition,62
Plant cell,62
soluble carbohydrate,62
INCUBATION,61
sainfoin,61
lignin,61
Medicago lupulina,61
PHOSPHATE,61
Livestock,61
Mapping,61
liquid chromatography,61
perennial pasture,61
soil salinity,61
secondary metabolite,61
alfalfa breeding,61
determinant,61
AM symbiosis,61
Aboveground biomass,61
alfalfa silage,61
sativa subsp,61
RESTRICTION,61
hairy root,60
bacteroid,60
Nucleus,60
IRON,60
waste,60
AMPLIFICATION,60
growth performance,60
Root tip,60
drought,60
subterranean clover,60
VALIDATION,60
Fresh alfalfa,60
Plant response,60
vegetation,60
ncr,60
ortholog,60
nitric oxide,60
AUXIN,60
ssr marker,60
SAND,60
Contamination,60
heavy metal,60
Beef,59
Database,59
Fatty Acid,59
ACQUISITION,59
Cover crop,59
salinity stress,59
Serum,59
Proline,59
tall fescue,59
N2O,59
Survey,59
SUBGROUP,59
alfalfa stem,59
formulation,58
Transcriptome,58
Gene family,58
transition,58
RICHNESS,58
neutral detergent fibre,58
Drought tolerance,58
NODULE DEVELOPMENT,58
SHAPE,58
Volatile fatty acid,58
Arbuscular mycorrhizal fungi,58
ensiling,58
alkali,58
APC,58
ELECTROPHORESIS,58
SINORHIZOBIUM,57
Pisum sativum,57
soluble protein,57
Barley,57
PREDICTION,57
key role,57
promoter,57
chloroplast,57
PLANT BIOMASS,57
RAW,57
DISAPPEARANCE,57
Lotus japonicus,57
FLOW,57
Sainfoin,57
butyric acid,57
copper,56
sequence analysis,56
agriculture,56
AMMONIUM,56
polysaccharide,56
SPREAD,56
seed coat,56
MALONDIALDEHYDE,56
chlorophyll content,56
TUBE,56
Sodium,56
Amino acid,56
Antioxidant activity,56
chemical composition,56
Linkage,56
FRAMEWORK,55
OVEREXPRESSION,55
Biomass yield,55
FLUID,55
STEM RATIO,55
forage quality,55
exchange,55
environmental stress,55
assembly,55
wheat straw,55
JUICE,55
epidermis,55
water use efficiency,55
Herbage,55
SUPPRESSION,55
internode,55
Mutation,55
Saudi Arabia,55
APX,55
CORE,55
transformation,55
Germination rate,55
N-15,55
NA+,55
SHEEP,54
CALCIUM,54
Efficacy,54
Residue,54
SUCROSE,54
SUBUNIT,54
ethylene,54
mowing,54
LOAD,54
Oxidative stress,54
Alfalfa Seed,54
progress,54
Italy,54
BEHAVIOR,54
metabolomic,53
AUSTRALIA,53
candidate gene,53
HPLC,53
regrowth,53
contamination,53
preference,53
flow,53
CHICORY,53
PROVISION,53
leguminous plant,53
RESOLUTION,53
Coleoptera,53
chlorophyll,53
Leaf area,53
Cultivation,53
Biochar,53
cover crop,53
proteome,53
Trifolium pratense,53
somatic embryo,53
CORTEX,52
Holstein,52
molecular mechanism,52
Agrobacterium,52
mass spectrometry,52
margin,52
IRAN,52
nutritive value,52
clay,52
outbreak,52
OUTPUT,52
Fall dormancy,52
FUNGI,52
heifer,52
POTASSIUM,52
PLANTA,52
PHOTOSYNTHESIS,52
CLIMATE,52
GBS,52
relative water content,52
Water use,52
Water use efficiency,52
Leaflet,51
Nutrition,51
screening,51
Expression analysis,51
tropical,51
NIN,51
ROTUNDATA,51
white clover,51
fatty acid composition,51
INOCULUM,51
Root length,51
behaviour,51
corn silage,51
EFFICACY,51
perennial legume,51
Starch,51
pollution,51
Calcium,51
TALL FESCUE,51
Tillage,51
EFFLUX,51
defense response,51
particle size,50
MATTER,50
DPI,50
health,50
STARCH,50
Symbiotic nitrogen fixation,50
Network,50
cell division,50
strawberry,50
HISTORY,50
Nod factor,50
goal,50
Sampling,50
HERBAGE YIELD,50
aqueous,50
Environmental factor,49
Fibre,49
natural enemy,49
Cytokinin,49
blood,49
growth stage,49
Removal,49
RAPD,49
grass mixture,49
Physiological response,49
Nodule number,49
birdsfoot trefoil,49
drought tolerance,49
Na+,49
Soil water,49
Cereal,49
Glycine max,49
network,49
SAINFOIN,49
MORTALITY,49
ruminant,49
rotation,49
nitrogen content,48
transgenic alfalfa,48
FILL,48
n-3,48
Pea,48
rainfall,48
DEPLETION,48
REGROWTH,48
Cage,48
Barrel medic,48
aerobic,48
LIVER,48
GFP,48
proline,48
LIVESTOCK,48
homolog,48
Corn silage,48
Sinorhizobium,48
P uptake,48
EXAMPLE,48
HYPHAE,48
mulch,48
milk yield,47
M. polymorpha,47
mycorrhization,47
race,47
Photosynthesis,47
PHYLOGENETIC ANALYSIS,47
Pea aphid,47
tocopherol,47
Genes,47
cold,47
Water loss,47
AGROBACTERIUM,47
quality trait,47
DELETION,47
Aphanomyces,47
MATRIX,47
Root growth,47
pea aphid,47
Rabbit,47
expression pattern,47
RIVER,47
Iron,47
phenolic compound,47
REPLICATION,47
fuel,47
Regrowth,47
methane emission,46
Symbiosome,46
Lipid Peroxidation,46
Candidate gene,46
Australia,46
HOLSTEIN,46
CELLULOSE,46
acid soil,46
lactic acid bacteria,46
red clover,46
in vivo,46
Dry matter intake,46
PARALLEL,46
Hypera postica,46
NFP,46
volatile fatty acid,46
lactic acid,46
MEDICAE,46
Sapogenin,46
isolation,46
E. meliloti,46
partition,46
soil water,46
Shape,46
Mutualism,45
Ethylene,45
pollen,45
YOLK,45
biomass yield,45
Climate,45
ANNOTATION,45
Microbial community,45
VIRUS,45
Alfalfa Silage,45
seedling,45
ARBOREA,45
CALIFORNIA,45
alfalfa yield,45
Isolation,45
n-2 fixation,45
Tall fescue,45
Conservation,45
Antioxidant enzyme activity,45
simple sequence repeat,45
barley,45
MALDI,45
Hemiptera,45
Legumes,45
nutrient solution,45
RFV,45
survey,45
LRR,45
metabolism,45
Medicago falcata,45
Genome sequence,44
climate,44
total protein,44
Climate change,44
Alfalfa yield,44
glutathione,44
arbuscule,44
recovery,44
Mass spectrometry,44
GLUCOSE,44
regression,44
Urine,44
sensor,44
Medicago polymorpha,44
field trial,44
Milk yield,44
texture,44
Bean,44
Agriculture,44
Growth Performance,43
Maize,43
SENSITIVITY,43
MYB,43
MODULATION,43
air,43
Plant Root,43
arbuscular mycorrhizal fungi,43
propionic acid,43
Preference,43
Phosphate,43
C-13,43
grass hay,43
The Loess Plateau,43
Anthocyanin,43
crude protein content,43
CARBON,43
NO PRODUCTION,43
Enzyme activity,43
strigolactone,43
Alfalfa mosaic virus,43
Alfalfa growth,43
NSP2,43
North America,43
rat,43
oxygen,42
RADIATION,42
SUNN,42
cattle,42
transpiration,42
deg,42
Iron deficiency,42
bacterial community,42
availability,42
FISH,42
INTEGRATION,42
phytoplasma,42
PCR ANALYSIS,42
PROLINE CONTENT,42
heat,42
DECOMPOSITION,42
Mung bean,42
horse,42
ROBUST,42
total mixed ration,42
diurnal,42
EUROPE,42
polyamine,42
IPD3,41
HOT,41
HYPOCOTYL,41
model legume,41
signal transduction,41
manure,41
ADL,41
fermentation quality,41
fresh forage,41
sink,41
Fertiliser,41
POWER,41
crop rotation,41
VIABILITY,41
PREY,41
Water stress,41
progeny,40
BLOAT,40
DIFFERENTIATION,40
Pollination,40
Potato,40
Pro,40
alfalfa meal,40
recombinant protein,40
Milk Yield,40
Rhizophagus irregularis,40
molecular structure,40
Ridge,40
Iran,40
EVOLUTION,40
SLURRY,40
Pesticide,40
STRENGTH,40
color,40
NODULE FORMATION,40
WIDE ASSOCIATION,40
New Zealand,40
indoor,40
PLANTARUM,40
PHOSPHORUS,40
VALLEY,40
miRNA,40
acid detergent,39
SOIL BACTERIA,39
Dormancy,39
Dactylis glomerata,39
PUFA,39
MINE,39
PHYTOREMEDIATION,39
FIXATION,39
ZINC,39
crucial role,39
BARLEY,39
FORAGE QUALITY,39
Copper,39
PRETREATMENT,39
Phytoplasma,39
INJURY,39
phosphate,39
ANIMAL PERFORMANCE,39
AGRICULTURE,39
root hair,39
Nano,38
cell culture,38
wastewater,38
DISCOVERY,38
LOAM,38
callus,38
GLOMUS,38
isoflavone,38
biological activity,38
ACC,38
TRIFOLIUM,38
OXIDATIVE DAMAGE,38
fatty acid profile,38
STF,38
LEUCINE,38
FERMENTATION QUALITY,38
quantification,38
pollination,38
Lucerne hay,38
REPAIR,38
methane,38
WIDE IDENTIFICATION,38
chemical property,38
ewe,38
CALLUS,38
AGAR,38
crop production,38
use efficiency,38
hydrogen,38
competition,38
stress response,38
Shade,38
MICROBIOTA,38
Alfalfa silage,38
Total nitrogen,37
ash,37
Alfalfa weevil,37
Bacteroid,37
NSP1,37
gas production,37
SPECTRUM,37
Pretreatment,37
Pseudomonas,37
AM fungi,37
nanoparticle,37
organic carbon,37
tobacco,37
alfalfa seed production,37
GST,37
ryegrass,37
Evapotranspiration,37
symbiotic association,37
Ethanol,37
proanthocyanidin,37
vector,37
parasitism,37
moisture,37
persistence,37
disturbance,37
PSEUDOMONAS,37
crop yield,37
carcass,37
Illumina,37
modeling,37
nod factor,37
MORPHOLOGY,37
discriminate,37
Meat,37
Larvae,37
INFESTATION,37
cascade,36
POTATO,36
Feed intake,36
fungicide,36
preservation,36
Cold acclimation,36
BIAS,36
LYK3,36
EXCRETION,36
Cadmium,36
cadmium,36
BINDING,36
enzymatic activity,36
solvent,36
HYMENOPTERA,36
Peroxidase,36
PGPR,36
ALLEVIATION,36
ATP,36
CATTLE,36
crude protein yield,36
plant growth and development,36
dmi3,36
average daily gain,36
Fixation,36
RFLP,36
SEARCH,36
MEAT,36
hybridization,36
BASAL DIET,36
TRANSFERASE,36
MULCH,36
Glutamine synthetase,36
Search,36
trace,36
USE EFFICIENCY,36
perennial forage,35
agricultural soil,35
lysine,35
auxin,35
TNT1,35
sorghum,35
carbohydrate metabolism,35
ALFALFA YIELD,35
Tunisia,35
MERISTEM,35
Maintenance,35
Surface area,35
POTENTIAL ROLE,35
molting,35
Straw,35
Osmotic stress,35
Overexpression,35
PAHs,35
defence,35
absorption,35
Separation,35
miR156,35
protein concentration,35
precipitation,35
Nanoparticle,34
MtPT4,34
REDOX,34
Vitamin,34
Transcriptome analysis,34
NODULE NUMBER,34
fungi,34
Catalase,34
starch,34
Proteome,34
homeostasis,34
Poultry,34
plasmid,34
Polymorphism,34
LASER,34
nutrition,34
Comparative analysis,34
gas chromatography,34
Phytohormone,34
soil water content,34
Nutrient digestibility,34
Molecular marker,34
EDTA,34
DIGESTA,34
AEROBIC STABILITY,34
Petiole,34
HCT,34
somatic embryogenesis,34
Chemical composition,34
MOSSEAE,34
RYEGRASS,34
hydroponic,34
Soil moisture,34
Microarray,34
Somatic embryogenesis,34
MANURE,34
PENETRATION,34
Silver,34
Genetic analysis,34
regulatory mechanism,33
behavior,33
DETOXIFICATION,33
formic acid,33
senescence,33
TT8,33
Medicago scutellata,33
Willow,33
Manure,33
microbial population,33
Yield and nutritive value,33
ROT,33
livestock,33
stress tolerance,33
Genetic structure,33
blend,33
SERUM,33
SWEET,33
SAFETY,33
Fitness,33
potato,33
SOFTWARE,33
humidity,33
maize silage,33
N excretion,33
DPPH,33
Root exudate,33
Cellulose,33
leachate,33
agronomic trait,33
Tnt1,33
Total mixed ration,33
Crop rotation,33
oxidative stress,33
oxidation,33
Transgenic Arabidopsis,33
PLANT DEVELOPMENT,32
Fungi,32
Freezing tolerance,32
Fabaceae,32
UTILITY,32
perennial grass,32
morphological trait,32
COA,32
sterile,32
ABSORPTION,32
PROTEIN GENE,32
sucrose,32
Diesel,32
ETHANOL,32
Salinity stress,32
molecular marker,32
Salmonella enterica,32
cereal,32
protein kinase,32
LUCERNE HAY,32
divergence,32
Consumer,32
STEPPE,32
N uptake,32
Population density,32
NAC,32
weevil,32
Green manure,32
forage source,32
NIRS,32
LysM,32
REMEDIATION,32
Cattle,32
fibre,32
sodium,32
lipid peroxidation,32
DESERT,32
arthropod,32
Carbon dioxide,32
biology,32
HB12,32
URINE,32
EHEC,32
irrigation treatment,32
Salinity tolerance,31
SECRETION,31
FEASIBILITY,31
alfalfa mosaic virus,31
Aphids,31
BIOCHAR,31
Alfalfa pasture,31
ARID REGION,31
M. scutellata,31
NITRATE,31
respiration,31
dehydrogenase,31
RHIZOSPHERE SOIL,31
acid detergent fibre,31
description,31
enzyme activity,31
field capacity,31
Growth stage,31
fertiliser,31
Ensifer,31
Feedstock,31
parasitoid,31
Sandy soil,31
Susceptibility,31
cellulase,31
GERMINATION RATE,31
SEGREGATION,31
nucleotide polymorphism,31
STEC,31
Potassium,31
PRECISION,31
Megachilidae,31
TANDEM,31
Plant density,31
Plant development,31
potassium,31
Lucerne pasture,30
unigene,30
feed efficiency,30
NORTHWEST CHINA,30
N FERTILIZATION,30
NMR,30
Bacterial community,30
MITOCHONDRIAL,30
infection thread,30
Orchardgrass,30
H2S,30
genetic variability,30
CHICKPEA,30
fungal community,30
OMD,30
liver,30
CLEAVAGE,30
Pathogenicity,30
black medic,30
Cell death,30
small RNA,30
alfalfa forage,30
agroecosystem,30
LAI,30
CLOSTRIDIUM,30
ROOT COLONIZATION,30
Hymenoptera,30
Rhizosphere,30
Interface,30
microbial community,30
UREA,30
SHRUB,30
Infection thread,30
Tocopherol,30
SUPERFAMILY,30
TIMOTHY,30
ECTOPIC EXPRESSION,30
mycorrhiza,30
monitoring,30
zinc,30
Simulation,30
CRE1,30
RICE,30
MEXICO,30
carpel,30
PHYSIOLOGY,30
PREVENTION,30
colonisation,30
Microscopy,29
Infestation,29
UPSTREAM,29
provide insight,29
phalaris,29
cluster analysis,29
SKIN,29
RuBisCO,29
gene ontology,29
PPO,29
Hemicellulose,29
Elevated CO2,29
Wastewater,29
Concentrate,29
RUNOFF,29
PLANT GENOTYPE,29
DELIVERY,29
Methane production,29
E. medicae,29
Defoliation,29
translocation,29
INFLORESCENCE,29
Sucrose,29
Dry matter production,29
host race,29
DM digestibility,29
transcriptome analysis,29
abiotic stress response,29
Fusarium,29
Oxidation,29
Available P,29
TRANSMISSION,29
SPRINKLER,29
milk fat,29
microwave,29
domestic,29
calibration,29
Arbuscular mycorrhiza,29
REPORTER,29
Phenotypic variation,29
ammonium,29
GOLD,29
HUMAN HEALTH,29
plain,29
Pathogenesis,29
simulation,29
joint,29
polyploid,29
algorithm,29
Oasis,29
pesticide,29
RETENTION,29
ALFALFA MEAL,29
Chlorophyll,29
elevated CO2,29
in situ,28
TRANSPOSON,28
Phylogenetic analysis,28
Medicago ciliaris,28
SULFUR,28
COAT,28
SWITCH,28
CO2 concentration,28
TILLAGE,28
fall dormancy,28
dairy calf,28
Perennial ryegrass,28
APPEARANCE,28
Superoxide dismutase,28
CORN GRAIN,28
PERENNIAL RYEGRASS,28
caerulea,28
AFTERNOON,28
DNA repair,28
STRESS TOLERANCE,28
population dynamic,28
plant material,28
Melatonin,28
chlorophyll a,28
RUMINAL PH,28
Color,28
Weed control,28
Water content,28
Rhizobial infection,28
REGENERATION,28
chicken,28
Variability,28
VULGARIS,28
CATALASE,28
NODULE ORGANOGENESIS,28
NODULE SENESCENCE,28
Mortality,28
phytoremediation,28
Pulp,28
Microbiota,28
Principal component analysis,28
plasticity,28
Canada,28
oats,28
phylogeny,28
downregulation,28
autotetraploid,28
Plant resistance,28
Callus,28
citric acid,28
transmission electron microscopy,28
malondialdehyde,28
Lolium perenne L.,28
METHIONINE,28
M. laciniata,28
Irrigation water,28
MANIPULATION,28
low pH,28
nitrate,27
CLASSIFICATION,27
Atrazine,27
FILM,27
leaf area,27
Proteobacteria,27
alfalfa growth,27
protease,27
Organelle,27
Aluminium,27
